t,ax,ay,az,wx,wy,wz,dt,vx,vy,vz,x,y,z
11.654,-6.235733,2.771637,2.135759,5444,14916,9396,0.09299999999999997,-4.122832311999992,-1.074948883999998,-1.4447493419999968,-22.066985102695963,6.024724740755029,-13.97013241715596
11.746,-6.139034,1.713637,-0.176034,6100,-2128,14052,0.09200000000000053,-4.687623439999995,-0.9172942799999972,-1.460944469999997,-22.498246459175963,5.940333666995029,-14.104539308395962
11.84,-4.709806,3.312612,1.224154,4296,488,15400,0.09399999999999942,-5.130345203999992,-0.6059087519999992,-1.3458739939999977,-22.980498908351958,5.883378244307029,-14.23105146383196
11.93,1.180146,0.981958,0.807122,-380,-4896,16104,0.08999999999999986,-5.024132063999993,-0.5175325319999993,-1.2732330139999979,-23.432670794111957,5.83680031642703,-14.34564243509196
12.02,0.25986,1.0101,1.093626,2720,1608,15168,0.08999999999999986,-5.000744663999993,-0.4266235319999994,-1.174806673999998,-23.882737813871955,5.79840419854703,-14.45137503575196
12.106,9.809701,-2.705773,9.809701,-24768,-32768,8624,0.0860000000000003,-4.15711037799999,-0.6593200100000003,-0.33117238799999504,-24.240249306379955,5.74170267768703,-14.47985586111996
12.201,9.809701,-9.81,-6.271958,10704,32767,-32768,0.09500000000000064,-3.2251887829999837,-1.5912700100000066,-0.927008397999999,-24.546642240764957,5.590532026737028,-14.56792165892996
12.292,-9.81,8.158335,-1.946253,-7924,4996,-24984,0.0909999999999993,-4.117898782999977,-0.8488615250000123,-1.1041174209999975,-24.92137103001795,5.513285627962028,-14.668396344240959
12.382,9.809701,-1.635798,1.816024,1448,9944,-7632,0.08999999999999986,-3.2350256929999786,-0.9960833450000122,-0.9406752609999978,-25.21252334238795,5.423638126912027,-14.75305711773096
12.475,-3.955375,0.838556,-0.568817,5460,17264,-9876,0.09299999999999997,-3.6028755679999787,-0.9180976370000122,-0.9935752419999977,-25.547590770211947,5.338255046671026,-14.845459615236958
12.568,5.310058,-4.523893,-1.162183,780,12620,-3172,0.09299999999999997,-3.1090401739999787,-1.338819686000012,-1.1016582609999976,-25.836731506393946,5.213744815873025,-14.947913833509958
12.661,4.547244,-2.700385,-1.569636,8492,16116,-19224,0.09299999999999997,-2.686146481999979,-1.589955491000012,-1.2476344089999976,-26.086543129219944,5.0658789552100245,-15.063943833546958
12.755,0.627795,-1.271755,1.189726,-6508,12444,-13944,0.0940000000000012,-2.627133751999978,-1.7095004610000135,-1.135800164999996,-26.333493701907944,4.905185911876021,-15.170709049056958
12.849,-2.769241,1.845961,7.707472,7024,14856,-16840,0.09399999999999942,-2.8874424059999764,-1.5359801270000146,-0.41129779700000046,-26.60491328807194,4.760803779938021,-15.209371041974958
12.944,-4.856801,1.288221,-0.661025,1676,9800,-10980,0.09500000000000064,-3.3488385009999795,-1.4135991320000139,-0.4740951720000009,-26.923052945666942,4.626511862398019,-15.254410083314959
13.037,6.207292,-1.852548,-1.887275,-2776,6888,-11220,0.09299999999999997,-2.7715603449999797,-1.5858860960000138,-0.6496117470000009,-27.18080805775194,4.479024455470017,-15.31482397578596
13.132,-6.945557,-4.782256,-9.81,7124,22888,-2888,0.09499999999999886,-3.431388259999972,-2.0402004160000082,-1.5815617469999896,-27.50678994245193,4.285205415950019,-15.465072341750956
13.222,-0.297881,0.871188,0.094903,1088,9340,-9260,0.08999999999999986,-3.458197549999972,-1.9617934960000083,-1.5730204769999896,-27.81802772195193,4.108644001310019,-15.606644184680954
13.313,0.999322,0.361349,0.03832,-1012,10544,-11140,0.09100000000000108,-3.367259247999971,-1.9289107370000078,-1.5695333569999896,-28.12444831351993,3.933113124243016,-15.749471720167955
