ax,ay,az,gx,gy,gz,time
-0.115234,0.237793,-1.009766,82.21436,28.68652,-7.385254,2.236876
-0.107422,0.260254,-0.980957,83.61816,28.38135,-3.967285,2.250187
-0.106934,0.269531,-0.964844,83.8623,28.25928,-2.624512,2.253289
-0.133301,0.296387,-0.952148,82.4585,28.07617,1.708984,2.266584
-0.179688,0.311523,-0.962402,81.05469,29.1748,3.479004,2.279882
-0.184082,0.319336,-0.964844,81.17676,29.35791,3.662109,2.282962
-0.23291,0.335938,-0.979004,82.21436,30.51758,4.699707,2.296268
-0.244141,0.330078,-0.984375,82.21436,31.61621,4.02832,2.299355
-0.243652,0.34375,-0.983398,84.04541,35.7666,1.647949,2.312654
-0.230469,0.396484,-0.958496,85.08301,37.47559,3.051758,2.325952
-0.242676,0.397949,-0.949707,85.38818,37.41455,3.417969,2.329035
-0.254395,0.405273,-0.932129,83.74023,35.27832,3.234863,2.34233
-0.250488,0.413086,-0.936035,83.25195,35.21729,3.662109,2.345418
-0.256348,0.425293,-0.948242,82.33643,39.67285,3.845215,2.358739
-0.26123,0.469727,-0.932617,84.04541,42.17529,5.310059,2.372061
-0.263184,0.472656,-0.931152,84.16748,42.60254,5.79834,2.375143
-0.295898,0.486328,-0.899414,86.30371,41.80908,6.164551,2.388464
-0.300293,0.486328,-0.896484,86.24268,41.93115,5.981445,2.39154
-0.321289,0.496582,-0.869141,84.28955,42.41943,4.089355,2.404833
-0.312012,0.525391,-0.833008,82.6416,38.08594,2.685547,2.418148
-0.310059,0.529297,-0.821289,82.03125,37.71973,2.868652,2.42122
-0.290039,0.551758,-0.784668,78.73535,33.75244,3.295898,2.434544
-0.280762,0.561035,-0.776367,77.69775,32.65381,3.845215,2.437627
-0.283691,0.581055,-0.774414,72.63184,29.60205,6.286621,2.450919
-0.301758,0.59082,-0.79248,68.90869,34.42383,6.591797,2.464254
-0.301758,0.597168,-0.787109,68.96973,34.5459,6.774902,2.46734
-0.30957,0.618652,-0.761719,68.84766,31.12793,7.69043,2.480649
-0.310059,0.621582,-0.756348,68.35938,30.45654,8.056641,2.483731
-0.334961,0.633789,-0.723145,67.19971,27.52686,8.361816,2.49703
-0.341309,0.630859,-0.717773,67.0166,27.64893,7.69043,2.50012
-0.350098,0.636719,-0.65332,62.43896,28.01514,5.67627,2.513376
-0.334961,0.665039,-0.569336,55.78613,23.86475,6.04248,2.526645
-0.335449,0.669922,-0.562012,52.85645,22.64404,6.225586,2.529728
-0.335938,0.679688,-0.527344,40.58838,16.90674,8.300781,2.542982
-0.348145,0.674316,-0.539551,37.8418,16.35742,8.544922,2.546069
-0.375488,0.661621,-0.590332,28.38135,16.72363,6.774902,2.5594
-0.360352,0.690918,-0.648438,25.87891,19.47021,5.126953,2.572693
-0.355957,0.690918,-0.65332,25.93994,19.53125,4.943848,2.575773
-0.339355,0.706055,-0.63916,28.50342,18.49365,6.225586,2.589088
-0.34375,0.703613,-0.626953,28.93066,17.76123,6.408691,2.592179
-0.385742,0.67041,-0.666992,27.89307,22.52197,5.371094,2.60545
-0.395996,0.680664,-0.661133,29.1748,30.45654,2.01416,2.618763
-0.385742,0.686035,-0.655273,30.15137,31.00586,1.464844,2.621846
-0.380371,0.69043,-0.640625,31.98242,31.67725,0.732422,2.635148
-0.373535,0.687012,-0.638184,32.16553,32.04346,0.732422,2.638218
-0.369629,0.689941,-0.648926,32.59277,35.15625,0.549316,2.65151
-0.367676,0.696289,-0.644043,34.729,39.00146,0.244141,2.664763
-0.367676,0.702637,-0.639648,35.27832,38.69629,0.732422,2.667846
-0.357422,0.723145,-0.597656,38.20801,36.86523,2.685547,2.681148
-0.355469,0.72998,-0.572754,38.26904,36.43799,3.540039,2.68422
-0.384277,0.734375,-0.515625,35.88867,31.61621,5.615234,2.69753
-0.424316,0.732422,-0.478516,29.1748,24.23096,6.408691,2.710833
-0.432617,0.73291,-0.466797,27.58789,22.52197,6.469727,2.713913
-0.457031,0.725586,-0.504883,19.89746,18.12744,5.249023,2.727227
-0.455566,0.724609,-0.522461,18.73779,17.82227,4.943848,2.730314
-0.446289,0.736328,-0.558105,17.57813,16.05225,2.990723,2.743608
-0.417969,0.741699,-0.583008,19.9585,11.65771,2.624512,2.756938
-0.414551,0.73584,-0.59082,20.32471,11.04736,2.441406,2.760018
-0.38916,0.72998,-0.606445,24.4751,11.35254,3.112793,2.77333
-0.384766,0.737793,-0.595703,25.75684,11.59668,3.601074,2.776418
-0.383301,0.736328,-0.559082,27.89307,11.96289,5.004883,2.789708
-0.388184,0.733887,-0.545898,28.13721,11.41357,5.493164,2.792788
-0.411133,0.730957,-0.509766,26.24512,7.446289,6.408691,2.806069
-0.441895,0.710449,-0.552246,22.70508,10.31494,5.310059,2.819374
-0.442871,0.70752,-0.562012,22.64404,12.87842,4.333496,2.822474
-0.433594,0.726074,-0.572754,23.74268,16.8457,2.502441,2.835768
-0.424316,0.730957,-0.580078,24.78027,16.47949,2.441406,2.838849
-0.420898,0.751953,-0.560059,29.84619,13.3667,4.150391,2.852105
-0.428711,0.754883,-0.52002,32.22656,6.774902,4.394531,2.865435
-0.432617,0.756836,-0.510254,32.40967,6.286621,4.516602,2.868527
-0.433594,0.760254,-0.476074,30.45654,5.310059,4.821777,2.881828
