time,data,butter,laplace,gaussian,target
23.61,4015.0,4010.122148287062,4010.0083492674767,4011.410726132659,4010.239626169663
23.64,4001.0,4010.2956840897496,4010.090283303609,4011.9164326216464,4010.4372188643256
23.669999999999998,4001.0,4010.463723670437,4010.1351663625323,4012.4758763093055,4010.6320832035335
23.7,4001.0,4010.626213788184,4010.1295675563183,4013.0906169292875,4010.8229894791084
23.73,4001.0,4010.783092835803,4010.0792225407845,4013.759954098202,4011.010391932541
23.759999999999998,4002.0,4010.934289889849,4009.990683518802,4014.481455916455,4011.1946458554053
23.79,4002.0,4011.0797248013914,4009.8711943476274,4015.250595853182,4011.3759588611942
23.82,4015.0,4011.219309205839,4009.742245425405,4016.058841382594,4011.5555560454713
23.849999999999998,4015.0,4011.352949791711,4009.6378560596295,4016.8989232526555,4011.7360377645978
23.88,4015.0,4011.480552975822,4009.57192263988,4017.7601048816814,4011.917645132814
23.91,4016.0,4011.602028000848,4009.5416674451303,4018.632097276794,4012.0989988728707
23.939999999999998,4016.0,4011.717287846343,4009.545692126175,4019.5001832532603,4012.2784178150177
23.97,4016.0,4011.82624947582,4009.5813434048196,4020.3501304696138,4012.4541469681
24.0,4005.0,4011.928833298176,4009.6311990572326,4021.167338365683,4012.6229203808325
24.029999999999998,4005.0,4012.0249604428245,4009.6660670360466,4021.937465658001,4012.780321623665
24.06,4005.0,4012.1145486403307,4009.6737995406434,4022.647988016258,4012.9238176679546
24.09,4091.0,4012.197514686613,4009.7642937359933,4023.285924894908,4013.063033612381
24.119999999999997,4091.0,4012.273794635625,4010.1414771617874,4023.840657818506,4013.2172492065297
24.15,4007.0,4012.343370027652,4010.7735452336187,4024.3025047086144,4013.382301016345
24.18,4007.0,4012.406268302195,4011.419772823737,4024.6658179709816,4013.533573721228
24.21,4007.0,4012.462537273666,4011.970964646882,4024.9263980885225,4013.659766092473
24.24,4095.0,4012.512229966702,4012.54447912359,4025.082494218406,4013.772481307561
24.27,4095.0,4012.555420882697,4013.35364713555,4025.133801810707,4013.8930816007837
24.3,4019.0,4012.5922334784686,4014.382713781403,4025.0819277530295,4014.0202509362184
24.33,4019.0,4012.622843047346,4015.412818700276,4024.92967487318,4014.132523795223
24.36,4019.0,4012.64745427175,4016.344283252591,4024.6811609616348,4014.2205078388233
24.39,4007.0,4012.666281948644,4017.168718735557,4024.339435930345,4014.283841025506
24.419999999999998,4007.0,4012.67954341376,4017.8643051863837,4023.9094261868236,4014.321007868329
24.45,4007.0,4012.687454138294,4018.4272419526055,4023.39511520335,4014.332199026231
24.48,4023.0,4012.690225767059,4018.8896115177804,4022.8014900678436,4014.32129077221
24.509999999999998,4023.0,4012.6880692775076,4019.300251098085,4022.1311020389658,4014.2935907357114
24.54,4011.0,4012.681200092589,4019.6679391043153,4021.3872721113394,4014.250481195637
24.57,4011.0,4012.669839057157,4019.9658808318472,4020.573408260353,4014.1898001549457
24.599999999999998,4011.0,4012.6542090341163,4020.185569589889,4019.6936056074255,4014.111284747025
24.63,4016.0,4012.634532296654,4020.34097444158,4018.752909327178,4014.0170142141988
24.66,4016.0,4012.611031030565,4020.4510177655266,4017.7580627248594,4013.9097328734906
24.689999999999998,4016.0,4012.5839291803404,4020.526494693924,4016.717688172277,4013.791561630893
24.72,4017.0,4012.553453750874,4020.572181021883,4015.642603036205,4013.664241406508
24.75,4017.0,4012.5198353818632,4020.593703281957,4014.546092048012,4013.5298478384875
24.779999999999998,4086.0,4012.483312944949,4020.6806718071393,4013.443588258529,4013.399076362526
24.81,4086.0,4012.444150628554,4020.996739530023,4012.35229751294,4013.2902242071395
24.84,4086.0,4012.402663247138,4021.6001743918214,4011.290878311375,4013.2112358680306
24.869999999999997,4011.0,4012.359228520251,4022.3622868870593,4010.2784733978115,4013.151458844688
24.9,4011.0,4012.3142730447044,4023.0749509289944,4009.3334271201493,4013.092256240678
24.93,4011.0,4012.268244931372,4023.6470167646426,4008.472537935118,4013.0265514150738
24.96,4011.0,4012.22159557856,4024.0915378939844,4007.7099036979484,4012.9574206220414
24.99,4011.0,4012.174775149086,4024.4207258698175,4007.0560577022793,4012.887498476479
25.02,3855.0,4012.1282231150026,4024.4521321631423,4006.516754798251,4012.7994671881415
25.05,3855.0,4012.0823303009615,4023.8315646444653,4006.09260850721,4012.658281555937
25.08,3855.0,4012.0373819263195,4022.441971900525,4005.779342497862,4012.4520369808947
25.11,4013.0,4011.993529269985,4020.573550211722,4005.5673652283326,4012.2089149599933
25.14,4013.0,4011.9508187028837,4018.682402253571,4005.4424969195625,4011.9731448796206
25.169999999999998,4013.0,4011.909249464537,4016.976835639645,4005.3869025365843,4011.7637733892525
25.2,4011.0,4011.8688120721317,4015.4418596338382,4005.380175131377,4011.5772531342272
25.23,4011.0,4011.8294974961354,4014.060845231182,4005.40080772047,4011.409763292074
25.259999999999998,4095.0,4011.791301584556,4012.925145814602,4005.4272568198503,4011.26828153109
25.29,4095.0,4011.754245076684,4012.2214338449353,4005.4397718648424,4011.169516632325
25.32,4095.0,4011.718404212459,4012.0087458970875,4005.4206721733144,4011.1176651770074
25.349999999999998,4014.0,4011.683926298223,4012.131966352703,4005.358008102857,4011.096138484135
25.38,4014.0,4011.6510151253997,4012.3511941197794,4005.2440881656235,4011.08034032886
25.41,4014.0,4011.619901406247,4012.5538300113926,4005.074560533345,4011.058760179472
25.439999999999998,4020.0,4011.590823439388,4012.748198671479,4004.851195108544,4011.0325981295127
25.47,4020.0,4011.5640236686672,4012.949180465954,4004.5797018457606,4011.0041071661053
25.5,4014.0,4011.5397505383944,4013.1550286722577,4004.271563221435,4010.9744596200853
25.529999999999998,4014.0,4011.518258519332,4013.349258134434,4003.94084615304,4010.9436172442133
25.56,4014.0,4011.499806305205,4013.524761243898,4003.6022733602413,4010.9125485045784
25.59,3915.0,4011.4846493427267,4013.5597611155463,4003.2724120069643,4010.8709367864326
25.619999999999997,3915.0,4011.473015367371,4013.223926315291,4002.967841438075,4010.7975890692337
25.65,3915.0,4011.465068243007,4012.437833389861,4002.703477439017,4010.686185677294
25.68,4018.0,4011.4608901292468,4011.384291397567,4002.4923990309744,4010.5563811462516
25.709999999999997,4018.0,4011.4605005510716,4010.354761568904,4002.344818076069,4010.438358405355
25.74,4018.0,4011.463894039533,4009.4796387275987,4002.2681941241917,4010.3458985168054
25.77,4009.0,4011.471064675123,4008.7346306214818,4002.266615126353,4010.2769763148826
25.8,4009.0,4011.4820101648174,4008.086361095851,4002.340729969733,4010.2283172384127
25.83,4009.0,4011.496728546452,4007.5159306921937,4002.488414424432,4010.197817348824
25.86,4007.0,4011.5152158638284,4007.014888464575,4002.7049497505946,4010.1841565125796
25.89,4007.0,4011.537465117067,4006.572908799406,4002.983749103858,4010.1856378839802
25.919999999999998,4007.0,4011.563465513782,4006.18302528286,4003.316687635412,4010.200743702853
25.95,4009.0,4011.593202082007,4005.843770803948,4003.6951811154927,4010.2284568575496
25.98,4009.0,4011.626656010269,4005.5560777677892,4004.1096296281503,4010.267895547809
26.009999999999998,3999.0,4011.6638047404244,4005.305605124126,4004.5498163592465,4010.316585940677
26.04,3999.0,4011.704619986249,4005.0645365724627,4005.0080766393517,4010.3709573101805
26.07,3999.0,4011.749064165011,4004.8205806213487,4005.476354134905,4010.4289448076343
26.099999999999998,4003.0,4011.797088165295,4004.580246922972,4005.948178656644,4010.490513090198
26.13,4003.0,4011.848631669123,4004.354261679141,4006.4166999182944,4010.556001495042
26.16,4003.0,4011.9036245668044,4004.1470964131304,4006.8771059144105,4010.6253198861978
26.189999999999998,4016.0,4011.9619886728674,4003.9738073265785,4007.3257142344128,4010.699543094393
