ax,ay,az,gx,gy,gz,time
669,1646,-786,6424,184,15640,2.888981
696,1590,-723,6416,208,15712,2.891668
694,1594,-365,6144,164,15676,2.904608
623,1597,-291,6112,256,15760,2.907298
569,1870,-54,5748,-24,15580,2.920217
550,1949,-17,5580,-48,15536,2.922922
552,2002,2,5516,-156,15468,2.925627
448,2351,-42,4852,-308,15844,2.938568
417,2345,-79,4756,-332,15936,2.941273
118,2064,-276,4436,-372,16308,2.954173
-2,1972,-327,4432,-328,16408,2.956885
-43,1837,-364,4284,-316,16172,2.959608
-198,1131,-577,4404,-356,16088,2.97254
-181,1007,-644,4484,-428,16132,2.975259
-205,614,-692,4796,-436,15528,2.988167
-187,610,-695,4804,-404,15480,2.990897
-193,662,-685,4852,-380,15264,2.993619
-214,1078,-638,4724,-380,15036,3.006529
-203,1218,-639,4732,-388,15096,3.009253
-84,1621,-596,4672,-352,14928,3.022211
-50,1698,-602,4688,-408,15016,3.02492
11,1719,-626,4584,-416,15160,3.027644
172,1657,-650,4472,-340,15516,3.040593
199,1641,-667,4464,-332,15552,3.043297
314,1389,-725,4348,-220,15956,3.056255
349,1254,-712,4432,-216,16040,3.05896
354,1193,-758,4352,-260,16004,3.061667
394,818,-806,4264,-324,15888,3.074588
381,758,-829,4216,-308,15952,3.077293
330,626,-945,4296,-176,15712,3.090196
355,591,-925,4328,-168,15704,3.092911
327,556,-916,4448,-168,15776,3.095613
264,628,-899,4568,-80,15700,3.108501
280,701,-903,4664,-112,15720,3.111208
168,757,-774,4772,-72,15924,3.124119
112,736,-694,4800,28,15920,3.126823
120,776,-677,4804,52,15884,3.129512
47,690,-429,4708,8,15852,3.142442
78,656,-379,4608,-100,15948,3.145131
117,236,-307,4228,-140,15912,3.158075
179,101,-314,4176,-100,15864,3.160784
228,61,-334,4144,-28,15760,3.16349
399,-199,-407,4028,-184,15732,3.176377
410,-291,-461,3968,-156,15808,3.179099
456,-501,-629,3824,-160,15724,3.191998
474,-538,-661,3832,-112,15936,3.194718
452,-580,-730,4004,-76,15992,3.19744
378,-766,-802,4572,208,15924,3.210368
302,-838,-775,4728,184,16024,3.213072
250,-748,-508,5148,220,15752,3.226024
260,-744,-425,5160,152,15708,3.228729
211,-656,-350,5160,156,15736,3.231436
149,-329,-48,4996,0,15644,3.244343
182,-248,-16,4816,-56,15536,3.247048
39,-97,43,4336,-152,15576,3.259962
64,-68,35,4196,-208,15508,3.262667
15,-71,22,4012,-312,15576,3.265373
-62,-206,-246,3752,-456,15400,3.278299
-26,-229,-308,3652,-452,15248,3.28104
-41,-234,-349,3616,-460,15348,3.283784
68,-329,-622,3704,-468,15108,3.296732
133,-361,-656,3704,-508,15148,3.299454
383,-478,-841,3980,-412,15108,3.312343
375,-491,-856,4096,-304,15180,3.315066
471,-506,-797,4536,-176,15392,3.32798
472,-483,-749,4668,-108,15360,3.3307
423,-425,-716,4652,-168,15332,3.333427
369,-130,-494,4624,-132,15500,3.34637
338,-86,-467,4720,-192,15244,3.349094
207,130,-254,4388,-280,15372,3.362006
186,200,-261,4216,-328,15384,3.364712
103,234,-238,4132,-288,15392,3.367416
46,473,-182,3748,-352,14936,3.380325
62,593,-229,3680,-316,14764,3.383031
400,631,-439,3260,-336,15020,3.395946
544,506,-492,3272,-372,15104,3.398649
644,373,-518,3216,-428,15084,3.401352
1367,-914,-762,3244,-384,15164,3.414265
1535,-1151,-787,3296,-304,15068,3.416988
2305,-1964,-923,3348,-216,14736,3.42994
2394,-2034,-957,3364,-252,14800,3.43266
2507,-2083,-1056,3320,-252,14652,3.435383
2925,-1814,-1210,3760,-56,14808,3.448293
2950,-1672,-1237,3808,-108,14860,3.450999
2938,-633,-1214,4116,-48,15576,3.463917
2879,-387,-1246,4024,40,15884,3.46664
2156,694,-1195,4176,264,16976,3.479545
1975,854,-1181,4188,328,17092,3.482236
1726,1001,-1235,4216,420,17472,3.484918
623,1077,-1088,4356,664,18456,3.497866
345,911,-1070,4416,672,18624,3.500558
-549,-81,-834,4612,804,18116,3.513473
-665,-299,-809,4672,768,18040,3.516193
-758,-493,-716,4624,808,17696,3.518914
